Pram,Oram,Pstorage,Ostorage,Pnetwork,Onetwork,Pcpu,Ocpu,Phost,OHost,Pvm,Ovm
54.54545455,88.73517787,36.56666667,2.633333333,61.04,58.28,62.8,54,1,1,1,1
53.95256917,25.29644269,35.51666667,37.75,62.32,56.28,57.6,81.6,1,1,2,2
56.71936759,85.77075099,35.2,2.366666667,61.08,6.4,57.6,90.8,1,1,3,3
54.34782609,85.77075099,35.08333333,36.96666667,62.44,5.28,57.6,51.6,1,1,4,4
57.11462451,82.80632411,38.26666667,37.11666667,57.44,59.84,54.8,32,2,2,5,5
54.54545455,59.48616601,36.93333333,36.53333333,62.76,56.68,60.8,58,2,2,6,6
59.28853755,87.35177866,36.68333333,2.766666667,63.76,57.8,51.6,56.4,2,2,7,7
52.17391304,28.45849802,36.98333333,71.45,60.48,57.28,65.2,49.6,2,2,8,8
56.91699605,31.22529644,38.21666667,69.75,55.84,58.08,51.6,61.6,3,3,9,9
62.64822134,92.68774704,34.95,2.466666667,57.96,6.4,57.2,84.4,3,3,10,10
59.09090909,57.31225296,38.23333333,36,61.68,57.84,58.4,54.4,3,3,11,11
53.95256917,57.50988142,35.1,35.86666667,58.8,5.76,54,86.4,3,3,12,12
60.07905138,29.64426877,37.93333333,35.85,60.8,63.96,57.2,87.2,4,4,13,13
57.11462451,30.83003953,36.63333333,37.48333333,59.08,63.56,58,82,4,4,14,14
61.46245059,24.50592885,34.81666667,37.43333333,64.84,59.04,66.4,82.8,4,4,15,15
54.743083,83.00395257,37.63333333,36.9,63.44,60.04,57.2,32.4,4,4,16,16
54.34782609,59.28853755,38.95,35.56666667,59.52,62.8,61.2,50.4,5,5,17,17
58.89328063,57.70750988,38.01666667,37.95,56.04,61.2,51.2,65.2,5,5,18,18
61.26482213,28.06324111,38.63333333,71.63333333,58.32,62.72,59.6,59.2,5,5,19,19
57.70750988,57.90513834,38.73333333,35.61666667,59.56,59.72,64.8,66.4,5,5,20,20
58.1027668,85.37549407,37,2.333333333,59.08,61.8,55.2,54.8,6,6,21,21
61.06719368,82.60869565,36.68333333,36.18333333,56.76,5.92,60.8,62.4,6,6,22,22
60.07905138,59.48616601,37.01666667,69.15,58.72,6.08,56,52,6,6,23,23
65.01976285,87.94466403,35.26666667,35.96666667,57.28,61.48,59.2,29.2,6,6,24,24
62.64822134,85.37549407,38.21666667,70.51666667,58.44,6.32,54.8,34,7,7,25,25
63.43873518,31.22529644,36.53333333,69.9,60.16,5.76,54,86,7,7,26,26
56.32411067,28.85375494,36.25,72.13333333,62.56,60.16,54,65.6,7,7,27,27
55.7312253,52.76679842,35.88333333,70.83333333,63.52,63.48,62.8,36.8,7,7,28,28
58.69565217,62.64822134,37.86666667,2.233333333,61.16,63.04,59.2,91.6,8,8,29,29
59.88142292,85.17786561,35.91666667,2.366666667,56.52,60.6,56,55.6,8,8,30,30
61.26482213,57.11462451,37.61666667,2.533333333,57.92,58.16,58,87.6,8,8,31,31
57.50988142,61.26482213,35.88333333,37.51666667,58.84,59.16,51.2,60,8,8,32,32
62.05533597,60.86956522,37.75,2.1,59.76,57.4,60.4,81.2,9,9,33,33
57.11462451,60.67193676,38.2,2.566666667,60.12,62.08,52.8,90.8,9,9,34,34
60.4743083,58.49802372,38.41666667,36.75,59.16,57.96,58.8,58.4,9,9,35,35
50.98814229,60.67193676,37.9,2.566666667,62.4,56.96,56.4,86.4,9,9,36,36
60.27667984,25.6916996,35.91666667,70.7,58.08,59.28,56.8,55.2,10,10,37,37
60.67193676,60.67193676,36.43333333,36.96666667,62.64,59.28,58.4,56.8,10,10,38,38
50.19762846,85.57312253,37.23333333,69.06666667,56.72,6.16,48.8,32,10,10,39,39
53.16205534,86.75889328,36.58333333,70.65,56,6.64,51.2,29.6,10,10,40,40
57.31225296,53.16205534,36.61666667,2.166666667,59.68,59.4,58,92.4,11,11,41,41
56.32411067,59.88142292,37.83333333,2,63.04,60.28,60,77.6,11,11,42,42
57.11462451,89.32806324,35.41666667,2.533333333,60.84,62.96,54.8,66,11,11,43,43
62.64822134,54.34782609,36.86666667,71.06666667,59.4,60.28,55.6,34.4,11,11,44,44
56.91699605,51.18577075,37.95,2.4,56.76,57.32,57.2,84.4,12,12,45,45
58.49802372,82.80632411,37.83333333,35.61666667,61.64,58.56,53.2,30,12,12,46,46
56.32411067,55.7312253,36.61666667,70.78333333,60.88,59.76,60,32,12,12,47,47
62.45059289,64.03162055,36.65,2.7,63.04,63.96,56.8,87.2,12,12,48,48
57.70750988,61.46245059,36.35,2.2,57.8,60.72,57.2,91.6,13,13,49,49
53.75494071,65.61264822,36.41666667,2.766666667,57.04,60.96,58.4,82,13,13,50,50
65.2173913,58.89328063,36.2,2.633333333,58.04,58.08,51.2,86,13,13,51,51
58.30039526,82.21343874,35.1,2.766666667,57.92,5.44,61.2,82.8,13,13,52,52
58.89328063,95.256917,36.83333333,38.36666667,59.24,62.56,63.2,29.2,14,14,53,53
58.49802372,62.8458498,35.93333333,71.96666667,56.24,60.28,63.2,27.6,14,14,54,54
53.75494071,57.11462451,36.9,70.46666667,56.32,57.16,60,31.2,14,14,55,55
56.52173913,59.28853755,36.55,2.833333333,62.52,63.2,60.8,80.4,14,14,56,56
52.96442688,60.27667984,36.25,72.51666667,58.72,62.92,52,32.8,15,15,57,57
59.68379447,54.94071146,36.28333333,35.33333333,61,59.04,58.4,57.2,15,15,58,58
65.81027668,29.64426877,36.25,37.55,62.92,61.88,62,82.4,15,15,59,59
